id,offer_id,creation_date,address1,postal_code1,address2,postal_code2,price,distance,transport_type,route_type
244,17500,2025-09-10,"ZIDA Lotnicza 6 PL, 80-297 Miszewo","PL 80-297","TADEUSZ KOBUS ""ELEKTA"" USŁUGI-HANDEL Adres 1 Maja PL, 11-300 Biskupiec","PL 11-300",1600.00,243.35,Naczepa,Krajowy
245,17497,2025-09-10,"Final S.A. ul. Koksownicza 9, 42-523 Dąbrowa Górnicza",42-523,"742 73 Veřovice, Czechy ( Szczegóły w dok. transportowych )","CZ 742 73",7019.10,167.32,Naczepa,Eksport
246,17495,2025-09-09,"Inter-Box, ul. Warszawska 89, 26-660 Jedlińsk",26-660,"PL, 26-811 Wyśmierzyce ( Szczegóły w dokumencie przewozowym )",26-811,550.00,,Naczepa,Krajowy
247,17491,2025-09-09,"Dabrowent, Aleksandra Krzywca 9, 85-862 Bydgoszcz",85-862,"Radom 26-601 ( Szczegóły w dok. transportowych )",26-601,700.00,392.02,Bus,Krajowy
248,17490,2025-09-09,"SPIROCENT BEATA CENTKOWSKA, Szkolna, 86-022 Borówno",85-862,"Budowa restauracji Popeye’s Gorzów Wielkopolski  Ul. Jedwabnicza 2/4 – obok centrum handlowego BIG, 66-400 Gorzów Wielkopolski,Paweł Przybysz: 781 033 959",66-400,700.00,304.03,Bus,Krajowy
249,17489,2025-09-09,"Recycling Południe Sp. z o.o. Rybnicka 155,  44-310 Radlin, PL","PL 44-310","FBSerwis Ruszczyn 100, 97-360 Kamieńsk, PL","PL 97-360",1100.00,186.85,Naczepa,Krajowy
250,17485,2025-09-09,"MIKA SP. Z O.O.  Przędzalnicza 14, 43-300 Bielsko-Biała","PL 43-300","PL 39-220 Pilzno ( Szczegóły po załadunku )","PL 39-220",1100.00,231.10,Naczepa,Krajowy
251,17484,2025-09-09,"Unieck 61, 09-136 Unieck",09-136,"PKZ CERAMIKA, 26-800 Białobrzegi ul. Kościelna 108",26-800,700.00,180.43,Naczepa,Krajowy
252,17482,2025-09-09,"SLV Group: Cieśle 1G, 56-400 Oleśnica",56-400,"Scaffolding Huragan Sp. z.o.o.  Starogardzka 4, Rywałd  Starogard Gdański, Polska  PL 83-200",83-200,900.00,480.43,Naczepa,Eksport
253,17481,2025-09-09,"SLV Group: Cieśle 1G, 56-400 Oleśnica",56-400,"Frenštát pod Radhoštěm, Martinská čtvrť 1789, PSČ 74401","CZ 744-01",1019.62,328.30,Naczepa,Eksport
254,17480,2025-09-09,"Chisage ul. Sokołowska 45D, 05-806 Sokołów","PL 05-806","ul. Tarnogórska 239, 44-105 Gliwice","PL 44-105",400.00,284.63,Bus,Krajowy
255,17476,2025-09-09,"Dabrowent, Aleksandra Krzywca 9, 85-862 Bydgoszcz",85-862,"Leroy Merlin Kępno, ul. Rozwojowa, 63-600 Kępno,",63-600,300.00,362.00,Bus,Krajowy
256,17474,2025-09-09,"Baza ELFEKO S.A., Parnowo 1, 76-039 Parnowo","PL 75-001","Energa Logistyka Sp. z o.o.  Magazyn  ul. Krzywoustego 34 A, 84-300 Lębork","PL 84-300",600.00,119.67,Solówka,Krajowy
257,17472,2025-09-09,"FOX Global Logistics B.V. Boyneweg 5 3197 LK Botlek Rotterdam The Netherlands",nl,"Röhlig SUUS Holubice 551 Holubice, 683 51 Czech Republic",e,8071.96,1150.09,Naczepa,Kabotaż
258,17470,2025-09-09,"FINAL, MAGAZYN 3, ul. Lubliniecka 35, 42-284 Herby",42-284,"46-300 Olesno ( Szczegóły w dok. transportowych )",46-300,1300.00,46.62,Naczepa,Krajowy
259,17467,2025-09-09,"PL 96-515 Gmina Teresin, Orbico, Gaj 1","PL 96-515","PL 84-208 Dobrzewino, Energy Storage Technologies","PL 84-208",1700.00,411.46,Bus,Krajowy
260,17466,2025-09-09,"AMS Meble Wola Batorska 962, 32-007 Zabierzów Bocheński","PL 32-005","ul. św Barbary 34, 42-200 Częstochowa tel.605 265 127","PL 42-202",500.00,172.19,Bus,Krajowy
261,17464,2025-09-09,"PRE BIEL PRO, Piekary 363, 32-060 Liszki k/Krakowa, Poland","PL 32-060","OIL DYNAMICS  PFAELZER RING 25-29  68766 HOCKENHEIM GERMANY","DE 68766",2549.04,1032.49,Bus,Eksport
262,17463,2025-09-09,"Final S.A. ul. Koksownicza 9, 42-523 Dąbrowa Górnicza",42-523,"Braszów RO 500001 ( Szczegóły w dok. transportowych )","RO 500001",4460.82,1310.53,Naczepa,Eksport
263,17460,2025-09-09,"Jamalex Sp. z o.o. Przemysłowa 7, 64-130 Rydzyna","PL 64-130","PL 83-331 Widlino, https://maps.app.goo.gl/Z6r3skw1Dx2Nhtkw5  trasa S7 ok 20km od Gdańska","PL 83-331",1800.00,414.86,Naczepa,Krajowy
264,17458,2025-09-09,"FLT Grupa ul. Wrocławska 1W, 51-361 Wilczyce","PL 51-361","ul. ks. Antoniego Siudy 11, 34-436 Maniowy","PL 34-436",1200.00,376.22,Solówka,Krajowy
265,17457,2025-09-09,"PHU STRZECHA Krzysztof Mazur ul. Milowicka 1A 40-312 Katowice","PL 40-002","CZ 10000 Praga - 50.1185717N, 14.6024862E https://mapy.com/s/rakapenugu Metrostav d11","CZ 10000",3058.85,,Naczepa,Eksport
266,17456,2025-09-09,"Magazyn Lidla Przemysłowa 2, 62-080 Jankowice (brama 9)","PL 62-080","LIDL ul. M.Curie Skłodowskiej 11, 37‑300 Leżajsk","PL 37-300",2800.00,631.70,Naczepa,Krajowy
267,17452,2025-09-09,"PL 31-983 Kraków, Dip, ul. Cementowa 5, tel. Tel. 790273228","PL 31-983","PL 26-200 Końskie, OSiR, ul Olimpijska, Tel. 605034392","PL 26-200",900.00,157.27,Solówka,Krajowy
268,17451,2025-09-09,"Miejski Zakład Wodociągów i Kanalizacji ul. Energetyczna 11, 62-600 Koło","PL 62-600","Stolno 21, 86-212 Stolno tel.601 682 215","PL 86-212",1100.00,153.12,Naczepa,Krajowy
269,17448,2025-09-09,"SLV Group: Cieśle 1G, 56-400 Oleśnica",56-400,"SK 91701 Trnava ( Szczegóły w dok. transportowych )","SK 91701",3186.30,,Naczepa,Eksport
270,17447,2025-09-09,"7SUN 41-253 Czeladź, ul. Wiejska 49 (budynek nr 3)","PL 40-002","Velke Chlievany 67, 95701 Banovce nad Bebravou  ,","SK 95701",1911.78,279.65,Solówka,Eksport
271,17444,2025-09-09,"PRE BIEL PRO, Piekary 363, 32-060 Liszki k/Krakowa, Poland","PL 32-060","INNOTECH  09-400 Płock  Ul. Kilińskiego 12A","PL 09-400",600.00,,Bus,Krajowy
272,17441,2025-09-09,"FINAL, MAGAZYN 3, ul. Lubliniecka 35, 42-284 Herby",42-284,"Cekanowo, 09-472 , ( Szczegóły w dok. transportowych )",09-472,2850.00,,Naczepa,Eksport
273,17438,2025-09-09,"Access World Netherlands B.V. Tradeboulevard 1 NL - 4761 RL Moerdijk",NL4761RL,"Romania Intrarea Mangaliei 78a, 900111 Constanta",RO900111,14019.72,2439.46,Naczepa,Kabotaż
274,17436,2025-09-09,"Logwise Voltaweg 41A 3225 MA Hellevoetsluis The Netherlands","NL 3225","MikMa Energi  Lansen 15 9230 Svenstrup","DK 9230",6669.99,,Naczepa,Kabotaż
275,17433,2025-09-08,"FABET Gorańska 17, 62-561 Ślesin tel.509 860 327","PL 62-561","FLOW B1 ACGROUP, ZA SZLABANEM NA KONCU ULICY TARGOWA 2, PL 90-022 ŁÓDŹ","PL 90-002",1010.00,132.73,Solówka,Krajowy
276,17431,2025-09-08,"KK Service, Golina Wielka 18 B, 63-940 Bojanowo","PL 63-940","Świnoujście, adres wg dokumentów","PL 72-600",1800.00,,Solówka,Krajowy
277,17430,2025-09-08,"SLV Group: Cieśle 1G, 56-400 Oleśnica",56-400,"Katharina Beyer  Schreiberhauer Str. 6  Schwalmstadt, DE 34613","DE 34613",2336.18,679.78,Solówka,Eksport
278,17426,2025-09-08,"C&J International Trading B.V. buitendijks 65, 3356LX Papendrecht ","NL 3356LX","Dingbo ul. Urocza 6, 05-552 Stefanowo","PL 05-552",6371.40,,Naczepa,Import
279,17424,2025-09-08,"Składowa 19, 90-701 Teolin,","PL 90-701","ul. Biskupa Albina Małysiaka 8, 30-389 Kraków","PL 30-389",800.00,283.62,Solówka,Krajowy
280,17422,2025-09-08,"Prodoo ul. Wodociągowa 1a, 46-022 Zawada","PL 46-022","Monolit Strzelnicza 12, 18-300 Zambrów","PL 18-300",1600.00,,Solówka,Krajowy
281,17420,2025-09-08,"RF MAH Sp. z o.o. Prawików 3, 56-100 Wołów",56-100,"Zakłady Mechaniczne” Bumar-Łabędy”S.A. 44-109 Gliwice ul. Mechaników 9, Tadeusz Zdobylak tel. 509-361-423 ,32-734-66-62",44-109,500.00,,Bus,Krajowy
282,17417,2025-09-08,"Prodoo ul. Wodociągowa 1a, 46-022 Zawada","PL 46-022","ROKA ul Londzina 31, 43-382 Bielsko-Biała","PL 43-382",1000.00,,Naczepa,Krajowy
283,17413,2025-09-08,"PL 31-983 Kraków, DIP, ul. Cementowa 5, tel. 790 273 228","PL 31-983","PL 47-100 Strzelce Opolskie, ul. Azaliowa, Kontakt:  Tomek  662-954-177/722-273-267","PL 47-100",650.00,,Bus,Krajowy
284,17411,2025-09-08,"PGE Energia Ciepła S.A. Oddział Elektrociepłownia w Bydgoszczy,  Energetyczna 1, 85-950 Bydgoszcz","PL 85-010","Ecol, 44-207 Rybnik,  Podmiejska 87 F","PL 44-207",1900.00,442.37,Naczepa,Krajowy
285,17410,2025-09-08,"PVO International B.V. Graafsebaan 139, 5248 NL Rosmalen, Holandia","nl 5248","Gd-Its Warehousing BV Heksekamp 7 5301 LX Zaltbommel","NL 5301",11468.52,,Naczepa,Kabotaż
286,17409,2025-09-08,"RF MAH Sp. z o.o. Prawików 3, 56-100 Wołów",56-100,"Mars Wrigley ul. Obodrzycka 69, 61-249 Poznań, Mateusz Gryczka tel : 503 358 972",61-249,500.00,,Bus,Krajowy
287,17406,2025-09-08,"Logwise Voltaweg 41A 3225 MA Hellevoetsluis The Netherlands","NL 3225","MikMa Energi  Lansen 15 9230 Svenstrup","DK 9230",6583.78,952.13,Naczepa,Kabotaż
288,17405,2025-09-08,"KA-NE FAKTORIA PUDEŁKA, 98-100 Łask, Orchów 178","PL 98-100","Systemy Autobusowe, 05-090 Raszyn, ul. Słowikowskiego 81/B","PL 02-255",500.00,,Bus,Krajowy
289,17404,2025-09-08,"REMDRUK Sp. z o.o., ul. Kopalniana 18C, 43-225 Wola, Rafał Mączka / kom 785-157-126",43-225,"RF MAH Sp. z o.o. Prawików 3, 56-100 Wołów",56-100,1200.00,,Solówka,Krajowy
290,17401,2025-09-08,"KA-NE FAKTORIA PUDEŁKA, 98-100 Łask, Orchów 178","PL 98-100","BIG NATURE, ul. Warszawska 12A 05-152 Palmiry","PL 05-152",350.00,,Bus,Krajowy
291,17400,2025-09-08,"BLACHO-BUD, Zielona 62, 42-445 Szczekociny",42-445,"METALEX, 55-220 MINKOWICE OŁAWSKIE ul. KOLEJOWA 1",55-220,1000.00,,Naczepa,Krajowy
292,17396,2025-09-08,"""C&J International Trading BV Buitendijks 65, 3356LX Papendrecht ""","NL 2665","""""""Dębowa 6, 80-297 Barniewice inpost warehouse Rafał Sawicki – ‪+48 799 044 850   and Jarek Poniatowski – ‪+48 504 977 909""""""",80-297,5097.12,,Naczepa,Krajowy
293,17395,2025-09-08,"""C&J International Trading BV Buitendijks 65, 3356LX Papendrecht ""","NL 2665","""""""Dębowa 6, 80-297 Barniewice inpost warehouse Rafał Sawicki – ‪+48 799 044 850   and Jarek Poniatowski – ‪+48 504 977 909""""""",80-297,5097.12,,Naczepa,Krajowy
294,17394,2025-09-08,"""C&J International Trading BV Buitendijks 65, 3356LX Papendrecht ""","NL 2665","""""""Dębowa 6, 80-297 Barniewice inpost warehouse Rafał Sawicki – ‪+48 799 044 850   and Jarek Poniatowski – ‪+48 504 977 909""""""",80-297,5097.12,,Naczepa,Krajowy
295,17393,2025-09-08,"""C&J International Trading BV Buitendijks 65, 3356LX Papendrecht ""","NL 2665","""""""Dębowa 6, 80-297 Barniewice inpost warehouse Rafał Sawicki – ‪+48 799 044 850   and Jarek Poniatowski – ‪+48 504 977 909""""""",80-297,5097.12,,Naczepa,Krajowy
296,17390,2025-09-08,"Z.P.H. Crawtico Ul. Słowiańska 39, 32-447 Siepraw",32-447,"42327 Wuppertal ( Szczegóły w dok. transportowych )","DE 42327",5734.26,1113.87,Naczepa,Eksport
297,17386,2025-09-08,"""BTS KRISTALWEG 1D, 3297 LN PUTTERSHOEK GPS: 51.814861, 4.555820 (Mon.-Fri., 07:30-16:00)""","NL 3297","Michaela Lemmer Im Hübelgarten 29 54453 Nittel-Köllig Mobile : 016097971846","DE 54453",1699.04,,Solówka,Kabotaż
298,17385,2025-09-08,"Składowa 19, 90-701 Teolin,","PL 90-701","ul. Biskupa Albina Małysiaka 8, 30-389 Kraków","PL 30-389",800.00,283.62,Solówka,Krajowy
299,17384,2025-09-08,"Dabrowent, Aleksandra Krzywca 9, 85-862 Bydgoszcz",85-862,"66-400 Gorzów Wielkopolski ( Szczegóły w dok. transportowych )",66-400,600.00,304.03,Bus,Krajowy
300,17382,2025-09-05,"Lubelski Fornir Sp. z o.o. ul. Lwowska 31, 22-650 Łaszczów",22-650,"Art wood, ul.Grunwaldzka 51,14-100 Ostróda",14-100,1500.00,546.44,Naczepa,Krajowy
301,17379,2025-09-05,"SLV Group: Cieśle 1G, 56-400 Oleśnica",56-400,"Czech - Petřvald k. Karwiny, CZ 73541","CZ 73541",936.17,286.63,Bus,Eksport
302,17376,2025-09-05,"Prodoo ul. Wodociągowa 1a, 46-022 Zawada","PL 45-001","KM Okno Borowa 171, 39-215","PL 39-215",700.00,319.30,Bus,Krajowy
303,17373,2025-09-05,"ASAJ, Kazimierza Przerwy-Tetmajera 1, 08-110 Siedlce","PL 08-110","Baza ELFEKO S.A. Parnowo 1, 76-039 Parnowo, tel.: 600 805 629","PL 76-039",2300.00,631.00,Bus,Krajowy
304,17370,2025-09-05,"Pruszyński Sp. z o.o. Sokołowska 32B 05-806 Sokołów","PL 05-806","Thermal-Tech Sp. z o.o. ul. Ekonomiczna 5 42-271 Częstochowa","PL 42-271",700.00,218.64,Bus,Krajowy
305,17368,2025-09-05,"FR 51100 Reims ( szczegóły później )","FR 51100","Ul. Czarna 16  77-304 Rzeczenica, https://maps.app.goo.gl/iHSHhq5JjXUckao36","PL 77-304",5957.42,,Naczepa,Import
306,17367,2025-09-05,"Stark, Grodziska 22, 05-830 Stara Wieś",05-830,"""U Jędrusia"" Sp. z o.o., Józefa Jedynaka 32, 32-020 Wieliczka",32-020,1250.00,287.57,Naczepa,Krajowy
307,17364,2025-09-05,"SAW-TRAK  ul. Deszczowa 2A, 31-985 Kraków","PL 31-985","Taste Craft ul. Korczunkowa 20, 05-503 Głosków","PL 05-503",1500.00,274.54,Solówka,Krajowy
308,17363,2025-09-05,"Final S.A. ul. Koksownicza 9, 42-523 Dąbrowa Górnicza",42-523,"Kümmersbruck, 92245, Niemcy ( Szczegóły w dok. transportowych )","DE 92245",6808.48,716.91,Naczepa,Eksport
309,17360,2025-09-05,"""Buitendijks 65, 3356LX Papendrecht ""","NL 2665","Dębowa 6, 80-297 Barniewice",80-297,5106.36,,Naczepa,Krajowy
310,17359,2025-09-05,"ZIDA, Skała 57-150 Gołostowice","PL 57-150","CZ 61900 Brno ( szczegóły w dokumencie przewozowym )","CZ 61900",2638.29,,Naczepa,Eksport
311,17357,2025-09-05,"7SUN 41-253 Czeladź, ul. Wiejska 49 (budynek nr 3)",41-253,"Elektro Zanzinger GmbH Solarstraße 2 74585 Rot am See - Brettheim Uwe Zanzinger, Steffen Zanzinger Telefon +49 7958 / 92 69 144","DE 74585",5531.89,847.98,Naczepa,Eksport
312,17355,2025-09-05,"FABET Gorańska 17, 62-561 Ślesin tel.509 860 327","PL 62-561","PL 60-542 Poznań, ul. Janickiego","PL 60-542",800.00,132.08,Naczepa,Krajowy
313,17354,2025-09-05,"Laserion Sp. z o.o. - Boczna 6, 44-240 Żory",44-240,"Zaprom Spółka, ul. Tołcze 3D 18-106 Turośń Kościelna",18-106,1500.00,551.63,Solówka,Krajowy
314,17350,2025-09-05,"MTJ Barnisław 44, 72-001 Kołbaskowo","PL 72-001","Fitness Zdrofit  ul. Syta 83, 02-993 Warszawa","PL 02-993",2200.00,568.59,Solówka,Krajowy
315,17346,2025-09-04,"Katharina Beyer  Schreiberhauer Str. 6  Schwalmstadt 34613,  +49 172 268 5501","DE 34613","SLV Group: Cieśle 1G, 56-400 Oleśnica",56-400,1916.51,680.24,Naczepa,Import
316,17345,2025-09-04,"Solexo, ul. Sienkiewicza 85, 34-300 Żywiec, tel :  889880222",34-300,"Mariusz Derek, Renice 37a, 74-300 Myślibórz,  tel 880294882",74-300,700.00,588.86,Bus,Krajowy
